service,date,aircraft,location,lat,lon,target,numweapons,timeon,weapon,weaponweight,missionfunction,numaircraft,unit,timeoff
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.46072255,106.1740206,TROOPS,5,1045,250LB MK-81,260,AIR INTERDICTION,4,N09707,1055
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.46072255,106.1740206,TROOPS,3,1045,500LB GP MK-82,500,AIR INTERDICTION,4,N09707,1055
USAF,10/9/1965,RF-101,TAN SON NHUT,10.61211982,104.9330068,TROOPS,0,1425,,0,PHOTO RECCE,1,JAJQPA,1440
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.75323661,106.4970481,BUILDINGS,0,1220,,0,AIR INTERDICTION,4,N09706,1235
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.75323661,106.4970481,BUILDINGS,1,1220,MK-11/MK-12,57,AIR INTERDICTION,4,N09706,1235
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.75323661,106.4970481,BUILDINGS,1,1220,MK-24,25,AIR INTERDICTION,4,N09706,1235
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.75323661,106.4970481,BUILDINGS,5,1220,250LB MK-81,260,AIR INTERDICTION,4,N09706,1235
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.75323661,106.4970481,BUILDINGS,4,1220,500LB GP MK-82,500,AIR INTERDICTION,4,N09706,1235
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),10.76031467,107.5027513,TROOPS,0,705,,0,AIR INTERDICTION,4,N09069,720
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),10.76031467,107.5027513,TROOPS,2,705,500LB GP MK-82,500,AIR INTERDICTION,4,N09069,720
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),10.76031467,107.5027513,TROOPS,20,705,5.0IN HEAT RKT,132,AIR INTERDICTION,4,N09069,720
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),10.76031467,107.5027513,TROOPS,4,705,MK-11/MK-12,57,AIR INTERDICTION,4,N09069,720
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),10.76031467,107.5027513,TROOPS,4,705,250LB MK-81,260,AIR INTERDICTION,4,N09069,720
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.76232238,106.487948,TROOPS,0,1545,,0,DIRECT AIR SUPPORT,4,N09076,1612
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.76232238,106.487948,TROOPS,1,1545,500BLU11/23/32,500,DIRECT AIR SUPPORT,4,N09076,1612
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.76232238,106.487948,TROOPS,6,1545,MK-11/MK-12,57,DIRECT AIR SUPPORT,4,N09076,1612
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.76232238,106.487948,TROOPS,5,1545,250LB MK-81,260,DIRECT AIR SUPPORT,4,N09076,1612
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.76232238,106.487948,TROOPS,4,1545,500LB GP MK-82,500,DIRECT AIR SUPPORT,4,N09076,1612
